[0]	11	0	0	63,0		63,63		0,63
[1]	11	0	0	0,63		0,0		63,0
[2]	11	0	0	63,64		63,127		0,127
[3]	11	0	0	0,127		0,64		63,64
[4]	10	0	0	192,223		255,160		192,160
[5]	11	0	0	63,64		0,127		63,127
[6]	11	0	0	0,127		63,64		0,64
[7]	10	0	1	127,64		64,95		127,95
[8]	10	0	1	64,95		127,64		64,64
[9]	10	0	1	64,63		127,32		64,32
[10]	10	0	0	255,160		192,223		255,223
[11]	10	0	0	255,96		192,159		255,159
[12]	10	0	0	192,159		255,96		192,96
[13]	11	0	0	63,0		0,63		63,63
[14]	11	0	0	0,63		63,0		0,0
[15]	8	0	0	255,255		192,192		192,255
[16]	8	0	0	192,192		255,255		255,192
[17]	9	0	0	63,63		0,0		0,63
[18]	9	0	0	0,0		63,63		63,0
[19]	8	0	0	255,255		192,255		192,192
[20]	8	0	0	192,192		255,192		255,255
[21]	9	0	0	63,63		0,63		0,0
[22]	9	0	0	0,0		63,0		63,63
[23]	9	0	1	127,224		64,255		127,255
[24]	9	0	1	64,255		127,224		64,224
[25]	10	0	1	64,31		127,0		64,0
[26]	10	0	1	127,32		64,63		127,63
[27]	10	0	1	64,63		127,32		64,32
[28]	11	0	0	63,64		63,127		0,127
[29]	11	0	0	0,127		0,64		63,64
[30]	10	0	0	255,96		192,159		255,159
[31]	10	0	0	192,159		255,96		192,96
[32]	11	0	0	63,64		0,127		63,127
[33]	11	0	0	0,127		63,64		0,64
[34]	11	0	0	63,64		0,127		63,127
[35]	11	0	0	0,127		63,64		0,64
[36]	10	0	1	64,0		127,31		64,31
[37]	10	0	1	127,0		127,31		64,0
[38]	9	0	1	64,224		127,255		64,255
[39]	9	0	1	127,224		127,255		64,224
[40]	10	0	1	127,64		64,95		127,95
[41]	10	0	1	127,32		64,63		127,63
[42]	10	0	1	64,63		127,32		64,32
[43]	11	0	0	63,0		63,63		0,63
[44]	11	0	0	0,63		0,0		63,0
[45]	10	0	0	255,160		192,223		255,223
[46]	10	0	0	192,223		255,160		192,160
[47]	10	0	1	127,0		64,31		127,31
[48]	9	0	1	64,255		127,224		64,224
[49]	10	0	1	127,32		64,63		127,63
[50]	10	0	1	127,64		127,95		64,95
[51]	10	0	1	64,95		64,64		127,64
[52]	10	0	0	128,96		191,159		128,159
[53]	10	0	0	191,96		191,159		128,96
[54]	10	0	0	128,96		191,159		128,159
[55]	10	0	0	191,96		191,159		128,96
[56]	10	0	0	255,160		255,223		192,223
[57]	10	0	0	192,223		192,160		255,160
[58]	11	0	0	63,64		63,127		0,127
[59]	11	0	0	0,127		0,64		63,64
[60]	11	0	0	63,0		63,63		0,63
[61]	11	0	0	0,63		0,0		63,0
[62]	9	0	1	64,255		64,224		127,224
[63]	10	0	1	127,32		127,63		64,63
[64]	10	0	1	64,63		64,32		127,32
[65]	11	0	0	63,64		63,127		0,127
[66]	11	0	0	0,127		0,64		63,64
[67]	10	0	0	255,96		255,159		192,159
[68]	10	0	0	192,159		192,96		255,96
[69]	11	0	0	63,64		63,127		0,127
[70]	11	0	0	0,127		0,64		63,64
[71]	10	0	1	127,64		127,95		64,95
[72]	10	0	1	64,95		64,64		127,64
[73]	11	0	0	63,0		63,63		0,63
[74]	11	0	0	0,63		0,0		63,0
[75]	10	0	0	255,160		255,223		192,223
[76]	10	0	0	192,223		192,160		255,160
[77]	11	0	0	63,64		63,127		0,127
[78]	8	0	0	255,255		192,192		192,255
[79]	8	0	0	192,192		255,255		255,192
[80]	9	0	0	63,63		0,0		0,63
[81]	9	0	0	0,0		63,63		63,0
[82]	8	0	0	255,255		192,255		192,192
[83]	8	0	0	192,192		255,192		255,255
[84]	9	0	0	63,63		0,63		0,0
[85]	9	0	0	0,0		63,0		63,63
[86]	9	0	1	127,224		64,255		127,255
[87]	9	0	1	127,224		127,255		64,255
[88]	10	0	1	127,0		127,31		64,31
[89]	10	0	1	64,31		64,0		127,0
[90]	10	0	1	127,0		127,31		64,31
[91]	10	0	1	64,31		64,0		127,0
[92]	10	0	1	127,64		127,95		64,95
[93]	10	0	0	128,96		191,159		128,159
[94]	10	0	0	191,96		191,159		128,96
[95]	9	0	1	127,224		127,255		64,255
[96]	9	0	1	64,255		64,224		127,224
[97]	9	0	1	127,224		127,255		64,255
[98]	10	0	0	128,96		191,159		128,159
[99]	10	0	0	191,96		191,159		128,96
[100]	10	0	0	128,96		191,159		128,159
[101]	10	0	0	191,96		191,159		128,96
[102]	10	0	0	128,96		191,159		128,159
[103]	10	0	0	191,96		191,159		128,96
[104]	10	0	0	128,96		191,159		128,159
[105]	10	0	0	191,96		191,159		128,96
[106]	10	0	0	128,96		191,159		128,159
[107]	10	0	0	191,96		191,159		128,96
[108]	9	0	1	127,224		64,255		127,255
[109]	9	0	1	64,255		127,224		64,224
[110]	10	0	1	127,32		64,63		127,63
[111]	10	0	1	64,63		127,32		64,32
[112]	10	0	0	128,96		191,159		128,159
[113]	10	0	0	191,96		191,159		128,96
