[0]	11	0	0	191,64		128,127		128,64
[1]	10	0	0	191,64		128,127		128,64
[2]	11	0	0	128,191		191,128		191,191
[3]	11	0	0	191,128		128,191		128,128
[4]	10	0	0	128,191		191,128		191,191
[5]	10	0	0	191,128		128,191		128,128
[6]	10	0	0	128,255		191,192		191,255
[7]	10	0	0	191,192		128,255		128,192
[8]	10	0	0	192,63		255,0		255,63
[9]	10	0	0	255,0		192,63		192,0
[10]	11	0	0	128,127		191,64		191,127
[11]	11	0	0	191,64		128,127		128,64
[12]	10	0	0	128,127		191,64		191,127
[13]	10	0	0	191,64		128,127		128,64
[14]	11	0	0	127,192		64,255		64,192
[15]	11	0	0	64,255		127,192		127,255
[16]	11	0	0	127,0		64,63		64,0
[17]	11	0	0	127,64		64,127		64,64
[18]	11	0	0	64,63		127,0		127,63
[19]	11	0	0	128,191		191,128		191,191
[20]	11	0	0	191,128		128,191		128,128
[21]	10	0	0	128,191		191,128		191,191
[22]	10	0	0	191,128		128,191		128,128
[23]	11	0	0	127,64		64,127		64,64
[24]	11	0	0	64,191		127,128		127,191
[25]	11	0	0	64,191		127,128		127,191
[26]	10	0	0	191,255		128,192		128,255
[27]	11	0	0	63,128		0,191		0,128
[28]	11	0	0	64,63		127,0		127,63
[29]	10	0	0	255,0		192,63		192,0
[30]	10	0	0	192,63		255,0		255,63
[31]	11	0	0	64,255		127,192		127,255
[32]	10	0	0	192,127		255,64		255,127
[33]	10	0	0	255,64		192,127		192,64
[34]	11	0	0	127,128		64,191		64,128
[35]	11	0	0	127,128		64,191		64,128
[36]	11	0	0	127,128		64,191		64,128
[37]	11	0	0	127,128		64,191		64,128
[38]	11	0	0	64,255		127,192		127,255
[39]	11	0	0	127,192		64,255		64,192
[40]	11	0	0	127,0		64,63		64,0
[41]	11	0	0	64,63		127,0		127,63
[42]	11	0	0	127,0		64,63		64,0
[43]	11	0	0	64,63		127,0		127,63
[44]	8	0	0	0,64		63,127		0,127
[45]	8	0	0	63,127		0,64		63,64
[46]	11	0	0	64,255		127,192		127,255
[47]	11	0	0	127,192		64,255		64,192
[48]	11	0	0	64,63		127,0		127,63
[49]	11	0	0	127,0		64,63		64,0
[50]	11	0	0	64,63		127,0		127,63
[51]	11	0	0	127,0		64,63		64,0
[52]	8	0	0	63,159		31,191		0,159
[53]	11	0	0	127,64		64,127		64,64
[54]	11	0	0	64,127		127,64		127,127
[55]	8	0	0	63,191		0,191		0,128
[56]	11	0	0	64,191		127,128		127,191
[57]	11	0	0	127,128		64,191		64,128
[58]	11	0	0	64,191		127,128		127,191
[59]	11	0	0	64,191		127,128		127,191
[60]	10	0	0	128,255		191,192		191,255
[61]	10	0	0	191,192		128,255		128,192
[62]	10	0	0	255,127		192,64		255,64
[63]	10	0	0	192,64		255,127		192,127
[64]	10	0	0	192,127		255,64		192,64
[65]	10	0	0	255,64		192,127		255,127
